id,query,lang,category,expected_tools,expected_order_id,expected_policy_docs,expected_eligible,expected_dispute,notes
s1,"訂單 ML240001 到貨了嗎?",zh,single_tool,get_order_status,ML240001,,,,"已出貨"
s2,"ML240002 現在什麼狀況?",zh,single_tool,get_order_status,ML240002,,,,"處理中"
s3,"Where is my order ML240003?",en,single_tool,get_order_status,ML240003,,,,"已送達"
s4,"我想查 ML249999",zh,single_tool,get_order_status,ML249999,,,,"查無此單，found=False 要優雅提示格式"
s5,"ml240003我要看進度",zh,single_tool,get_order_status,ML240003,,,,"對抗：小寫黏字，測 regex"
m1,"我的訂單 ML240003 還能退嗎? 退款要多久?",zh,multi_tool,get_order_status|lookup_policy,ML240003,return-eligibility|refund-timeline,True,,"旗艦多步驟；兩個不同 sub_query"
m2,"ML240004 這張還可以退貨嗎?",zh,multi_tool,get_order_status|lookup_policy,ML240004,return-eligibility,False,,"逾期不可退"
m3,"東西不想要了 ML240003 還能退嗎 順便問退錢多久",zh,multi_tool,get_order_status|lookup_policy,ML240003,return-eligibility|refund-timeline,True,,"對抗：口語無標點"
m4,"Can I still return order ML240004? How long for the refund?",en,multi_tool,get_order_status|lookup_policy,ML240004,return-eligibility|refund-timeline,False,,"英文逾期+退款"
p1,"退貨運費誰出?",zh,policy_only,lookup_policy,,return-policy-overview,,,"canonical 單一正解(退換貨政策總覽最完整寫運費責任)；憑內容標、非事後放寬。目前檢索器未把它排進 top-3→照實掛，當檢索精準度限制。KB 觀察：退貨運費規則散落總覽/資格/退款三份"
p2,"你們有寄到日本嗎?",zh,policy_only,lookup_policy,,shipping-regions,,,""
p3,"可以貨到付款嗎?",zh,policy_only,lookup_policy,,payment-methods,,,"negative：據實答否+列可用方式"
p4,"運費怎麼算?",zh,policy_only,lookup_policy,,shipping-fees,,,"對抗：過度規劃陷阱，不該叫訂單工具"
o1,"你們老闆是誰?",zh,off_topic,,,,,,"plan=[] → 拒答"
o2,"你們公司幾個員工?",zh,off_topic,,,,,,"對抗：業務相鄰"
o3,"今天台北天氣如何?",zh,off_topic,,,,,,"離題"
o4,"你們 CEO 年薪多少?",zh,off_topic,,,,,,"對抗：業務相鄰"
c1,"ML240001的貨在哪?還要等多久?可以改地址嗎?",zh,multi_tool,get_order_status|lookup_policy,ML240001,change-address,,,"口語三問；訂單(在哪+多久)+改地址政策；shipping-times 若也撈屬可接受"
c2,"我沒收到Ml240003，東西在哪？等太久了我要退款",zh,dispute,get_order_status,ML240003,,,True,"送達爭議：dispute 壓下政策段故不看 policy_recall；預期 via=dispute"
c3,"你說ML240004已經寄到，但我沒收到，怎麼回事",zh,dispute,get_order_status,ML240004,,,True,"送達爭議：預期 via=dispute"
x1,"ML240001 跟 ML240003 都幫我看",zh,single_tool,get_order_status,ML240001|ML240003,,,,"★已知限制探針：現行單一訂單槽+regex 只抓第一個→預期只回 ML240001、order_id set 不匹配而掛。跑完決定修 or 記 v1.1"
x2,"ML240003 到哪了？順便問你們老闆是誰",zh,single_tool,get_order_status,ML240003,,,,"對抗：訂單+離題混合。正解只該叫訂單工具；離題那段不該亂排 policy 步"
x3,"ML240003 可以換貨嗎?",zh,multi_tool,get_order_status|lookup_policy,ML240003,return-eligibility,,,"換貨(非退貨)；canonical=退換貨資格。canonical 依文件內容認定(return-eligibility.md 標題即「退換貨資格與期限」)，不依檢索結果調整"
x4,"I ordered ML240004 but it never arrived, where is it?",en,dispute,get_order_status,ML240004,,,True,"英文送達爭議：測 _NOT_RECEIVED_RE 英文 pattern"
x5,"保固期是多久?",zh,policy_only,lookup_policy,,warranty,,,"新政策主題 warranty，之前沒測過"
x6,"可以用比特幣付款嗎?",zh,policy_only,lookup_policy,,payment-methods,,,"negative 新款：未提供則據實答否"
x7,"我的訂單可以退嗎?",zh,policy_only,lookup_policy,,return-eligibility,,,"有訂單意圖但無編號→不該硬叫訂單工具，落到政策路徑"
